,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
714,PUDUCHERRY,PONDICHERRY,2001,9,3,1,35,27,3,0
715,PUDUCHERRY,TOTAL,2001,9,3,1,35,27,3,0
1433,PUDUCHERRY,PONDICHERRY,2002,6,6,5,59,26,9,0
1434,PUDUCHERRY,TOTAL,2002,6,6,5,59,26,9,0
2161,PUDUCHERRY,PONDICHERRY,2003,2,13,1,56,27,4,0
2162,PUDUCHERRY,TOTAL,2003,2,13,1,56,27,4,0
2890,PUDUCHERRY,PONDICHERRY,2004,4,8,6,50,30,2,0
2891,PUDUCHERRY,TOTAL,2004,4,8,6,50,30,2,0
3623,PUDUCHERRY,PONDICHERRY,2005,6,3,4,60,26,6,0
3624,PUDUCHERRY,TOTAL,2005,6,3,4,60,26,6,0
4362,PUDUCHERRY,KARAIKAL,2006,1,5,1,7,4,0,0
4363,PUDUCHERRY,PONDICHERRY,2006,8,8,2,49,35,19,0
4364,PUDUCHERRY,TOTAL,2006,9,13,3,56,39,19,0
5105,PUDUCHERRY,KARAIKAL,2007,3,4,0,33,6,1,0
5106,PUDUCHERRY,PONDICHERRY,2007,6,10,2,56,26,16,0
5107,PUDUCHERRY,TOTAL,2007,9,14,2,89,32,17,0
5866,PUDUCHERRY,KARAIKAL,2008,1,1,0,25,4,2,0
5867,PUDUCHERRY,PUDUCHERRY,2008,7,8,2,40,17,10,0
5868,PUDUCHERRY,TOTAL,2008,8,9,2,65,21,12,0
6633,PUDUCHERRY,KARAIKAL,2009,0,1,0,16,2,0,0
6634,PUDUCHERRY,PUDUCHERRY,2009,1,12,0,37,14,10,0
6635,PUDUCHERRY,TOTAL,2009,1,13,0,53,16,10,0
7412,PUDUCHERRY,KARAIKAL,2010,1,2,0,15,5,1,0
7413,PUDUCHERRY,PUDUCHERRY,2010,2,12,1,31,17,6,0
7414,PUDUCHERRY,TOTAL,2010,3,14,1,46,22,7,0
8203,PUDUCHERRY,KARAIKAL,2011,0,0,0,10,4,1,0
8204,PUDUCHERRY,PUDUCHERRY,2011,7,9,1,25,12,9,0
8205,PUDUCHERRY,TOTAL,2011,7,9,1,35,16,10,0
9014,PUDUCHERRY,KARAIKAL,2012,6,2,0,2,0,1,0
9015,PUDUCHERRY,PUDUCHERRY,2012,7,14,0,7,2,5,0
9016,PUDUCHERRY,TOTAL,2012,13,16,0,9,2,6,0
820,PUDUCHERRY,KARAIKAL,2013,6,2,1,1,1,1,0
821,PUDUCHERRY,PUDUCHERRY,2013,11,23,0,11,7,7,0
822,PUDUCHERRY,ZZ TOTAL,2013,17,25,1,12,8,8,0
834,PUDUCHERRY,KARAIKAL,2014,3,1,0,12,1,1,0
835,PUDUCHERRY,PUDUCHERRY,2014,7,6,1,20,7,3,0
836,PUDUCHERRY,TOTAL DISTRICT(S),2014,10,7,1,32,8,4,0
849,PUDUCHERRY,KARAIKAL,2015,0,1,0,8,3,0,0
850,PUDUCHERRY,PUDUCHERRY,2015,3,13,1,25,7,4,0
851,PUDUCHERRY,TOTAL DISTRICT(S),2015,3,14,1,33,10,4,0
852,PUDUCHERRY,0,0,0,0,0,0,0,0,0
