,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
471,PUNJAB,AMRITSAR,2001,9,26,7,9,0,77,0
472,PUNJAB,BARNALA,2001,12,13,6,13,0,24,0
473,PUNJAB,BATALA,2001,8,4,6,1,0,19,0
474,PUNJAB,BHATINDA,2001,13,9,4,15,0,57,0
475,PUNJAB,FARIDKOT,2001,6,7,4,11,0,20,0
476,PUNJAB,FATEHGARH SAHIB,2001,11,6,4,4,1,7,0
477,PUNJAB,FEROZEPUR,2001,22,7,11,17,0,22,0
478,PUNJAB,G.R.P,2001,0,0,3,1,0,0,0
479,PUNJAB,GURDASPUR,2001,12,14,6,4,0,21,0
480,PUNJAB,HOSHIARPUR,2001,19,13,12,13,0,46,0
481,PUNJAB,JAGRAON,2001,19,11,7,3,2,27,0
482,PUNJAB,JALANDHAR,2001,21,49,17,16,2,104,0
483,PUNJAB,KAPURTHALA,2001,8,9,2,20,0,34,0
484,PUNJAB,KHANNA,2001,6,1,4,0,0,15,0
485,PUNJAB,LUDHIANA,2001,38,46,11,46,13,249,0
486,PUNJAB,MAJITHA,2001,9,6,9,8,0,20,0
487,PUNJAB,MANSA,2001,6,4,2,3,0,3,0
488,PUNJAB,MOGA,2001,11,9,6,8,2,25,0
489,PUNJAB,MUKTSAR,2001,3,2,1,2,0,16,0
490,PUNJAB,NAWAN SHAHR,2001,11,8,4,8,0,14,0
491,PUNJAB,PATIALA,2001,23,46,10,128,19,232,0
492,PUNJAB,ROPAR,2001,6,6,5,13,4,33,0
493,PUNJAB,SANGRUR,2001,15,18,10,18,4,36,0
494,PUNJAB,TARN TARAN,2001,10,10,8,11,0,27,0
495,PUNJAB,TOTAL,2001,298,324,159,372,47,1128,0
1188,PUNJAB,AMRITSAR,2002,5,23,9,14,0,74,0
1189,PUNJAB,BARNALA,2002,11,5,3,8,0,25,0
1190,PUNJAB,BATALA,2002,14,8,7,5,0,32,0
1191,PUNJAB,BHATINDA,2002,14,25,5,25,5,36,0
1192,PUNJAB,FARIDKOT,2002,6,8,5,6,0,23,0
1193,PUNJAB,FATEHGARH SAHIB,2002,0,6,5,5,1,4,0
1194,PUNJAB,FEROZEPUR,2002,27,16,9,15,0,41,0
1195,PUNJAB,G.R.P,2002,0,0,2,2,0,0,0
1196,PUNJAB,GURDASPUR,2002,17,8,4,10,0,28,0
1197,PUNJAB,HOSHIARPUR,2002,19,10,12,12,1,55,0
1198,PUNJAB,JAGRAON,2002,13,13,3,4,1,26,0
1199,PUNJAB,JALANDHAR,2002,20,38,14,12,0,82,0
1200,PUNJAB,KAPURTHALA,2002,17,8,7,14,0,47,0
1201,PUNJAB,KHANNA,2002,7,4,5,7,0,16,0
1202,PUNJAB,LUDHIANA,2002,40,88,16,88,127,145,0
1203,PUNJAB,MAJITHA,2002,9,9,5,6,0,25,0
1204,PUNJAB,MANSA,2002,10,4,3,7,0,11,0
1205,PUNJAB,MOGA,2002,4,7,7,7,0,14,0
1206,PUNJAB,MUKTSAR,2002,8,1,8,3,0,13,0
1207,PUNJAB,NAWAN SHAHR,2002,8,11,7,5,0,31,0
1208,PUNJAB,PATIALA,2002,18,29,14,45,0,119,0
1209,PUNJAB,ROPAR,2002,6,6,6,17,6,25,0
1210,PUNJAB,SANGRUR,2002,14,17,6,19,4,52,0
1211,PUNJAB,TARN TARAN,2002,12,10,4,5,0,20,0
1212,PUNJAB,TOTAL,2002,299,354,166,341,145,944,0
1917,PUNJAB,AMRITSAR,2003,11,25,4,9,0,50,0
1918,PUNJAB,BARNALA,2003,15,7,2,12,0,52,0
1919,PUNJAB,BATALA,2003,13,9,6,6,0,28,0
1920,PUNJAB,BHATINDA,2003,15,16,1,20,2,36,0
1921,PUNJAB,FARIDKOT,2003,10,5,2,8,0,49,0
1922,PUNJAB,FATEHGARH SAHIB,2003,9,4,1,2,2,14,0
1923,PUNJAB,FEROZEPUR,2003,30,11,7,32,0,34,0
1924,PUNJAB,G.R.P,2003,1,1,3,3,0,0,0
1925,PUNJAB,GURDASPUR,2003,15,4,4,4,0,19,0
1926,PUNJAB,HOSHIARPUR,2003,30,14,7,13,15,51,0
1927,PUNJAB,JAGRAON,2003,12,4,5,9,0,34,0
1928,PUNJAB,JALANDHAR,2003,33,46,13,27,0,107,0
1929,PUNJAB,KAPURTHALA,2003,11,5,2,3,0,37,0
1930,PUNJAB,KHANNA,2003,7,3,2,7,0,14,0
1931,PUNJAB,LUDHIANA,2003,38,47,8,72,175,116,0
