,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
496,RAJASTHAN,AJMER,2001,16,125,12,95,0,236,0
497,RAJASTHAN,ALWAR,2001,34,87,43,124,0,235,0
498,RAJASTHAN,BANSWARA,2001,90,59,10,112,1,151,0
499,RAJASTHAN,BARAN,2001,81,94,3,219,5,124,0
500,RAJASTHAN,BARMER,2001,13,14,13,71,0,45,0
501,RAJASTHAN,BHARATPUR,2001,48,103,24,77,0,209,0
502,RAJASTHAN,BHILWARA,2001,42,223,5,126,3,312,0
503,RAJASTHAN,BIKANER,2001,35,34,13,53,0,153,0
504,RAJASTHAN,BUNDI,2001,36,103,2,164,6,157,0
505,RAJASTHAN,CHITTORGARH,2001,67,169,7,112,5,384,0
506,RAJASTHAN,CHURU,2001,24,14,8,73,3,174,0
507,RAJASTHAN,DAUSA,2001,9,26,8,31,0,60,0
508,RAJASTHAN,DHOLPUR,2001,24,33,21,34,0,93,0
509,RAJASTHAN,DUNGARPUR,2001,17,50,3,56,0,60,0
510,RAJASTHAN,G.R.P.,2001,1,4,0,14,0,0,0
511,RAJASTHAN,GANGANAGAR,2001,55,65,13,118,2,375,0
512,RAJASTHAN,HANUMANGARH,2001,35,22,20,98,0,241,0
513,RAJASTHAN,JAIPUR,2001,61,203,29,179,1,453,0
514,RAJASTHAN,JAISALMER,2001,2,7,3,21,0,16,0
515,RAJASTHAN,JALORE,2001,10,20,12,61,0,96,0
516,RAJASTHAN,JHALAWAR,2001,65,57,8,144,10,224,0
517,RAJASTHAN,JHUNJHUNU,2001,19,25,0,50,0,125,0
518,RAJASTHAN,JODHPUR,2001,20,53,12,128,3,263,1
519,RAJASTHAN,KARAULI,2001,21,50,10,37,0,66,0
520,RAJASTHAN,KOTA,2001,50,116,17,203,6,319,0
521,RAJASTHAN,NAGAUR,2001,22,34,14,65,0,102,0
522,RAJASTHAN,PALI,2001,25,61,15,115,2,196,0
523,RAJASTHAN,RAJSAMAND,2001,13,63,6,40,1,104,0
524,RAJASTHAN,SAWAI MADHOPUR,2001,19,42,6,49,0,97,0
525,RAJASTHAN,SIKAR,2001,13,22,15,28,0,114,0
526,RAJASTHAN,SIROHI,2001,22,19,8,29,0,79,0
527,RAJASTHAN,TONK,2001,17,50,7,84,6,142,0
528,RAJASTHAN,UDAIPUR,2001,43,118,9,68,2,127,0
529,RAJASTHAN,TOTAL,2001,1049,2165,376,2878,56,5532,1
1213,RAJASTHAN,AJMER,2002,27,124,23,65,0,285,0
1214,RAJASTHAN,ALWAR,2002,44,89,42,115,1,250,0
1215,RAJASTHAN,BANSWARA,2002,74,50,10,92,1,85,0
1216,RAJASTHAN,BARAN,2002,51,88,6,188,4,160,0
1217,RAJASTHAN,BARMER,2002,24,16,8,83,0,66,0
1218,RAJASTHAN,BHARATPUR,2002,59,79,27,29,0,227,0
1219,RAJASTHAN,BHILWARA,2002,46,164,4,134,6,339,0
1220,RAJASTHAN,BIKANER,2002,24,21,13,34,0,142,0
1221,RAJASTHAN,BUNDI,2002,38,83,7,151,3,225,0
1222,RAJASTHAN,CHITTORGARH,2002,73,139,7,121,1,330,0
1223,RAJASTHAN,CHURU,2002,22,14,8,50,0,163,0
1224,RAJASTHAN,DAUSA,2002,16,27,5,10,0,82,0
1225,RAJASTHAN,DHOLPUR,2002,26,45,25,43,0,78,0
1226,RAJASTHAN,DUNGARPUR,2002,21,40,4,58,1,42,0
1227,RAJASTHAN,G.R.P.,2002,4,2,2,20,0,0,0
1228,RAJASTHAN,GANGANAGAR,2002,54,52,19,100,1,391,0
1229,RAJASTHAN,HANUMANGARH,2002,40,27,19,95,1,227,0
1230,RAJASTHAN,JAIPUR,2002,57,221,32,187,0,517,0
1231,RAJASTHAN,JAISALMER,2002,3,4,5,13,0,17,0
1232,RAJASTHAN,JALORE,2002,11,25,10,77,0,84,0
1233,RAJASTHAN,JHALAWAR,2002,61,60,7,150,11,210,0
1234,RAJASTHAN,JHUNJHUNU,2002,12,31,15,65,0,122,0
1235,RAJASTHAN,JODHPUR,2002,33,76,17,157,5,267,0
1236,RAJASTHAN,KARAULI,2002,21,31,15,57,0,55,0
1237,RAJASTHAN,KOTA,2002,37,132,6,154,3,319,0
1238,RAJASTHAN,NAGAUR,2002,39,28,14,78,0,153,0
1239,RAJASTHAN,PALI,2002,25,59,14,116,3,205,0
1240,RAJASTHAN,RAJSAMAND,2002,9,44,7,38,0,74,0
1241,RAJASTHAN,SAWAI MADHOPUR,2002,21,37,2,59,0,113,0
1242,RAJASTHAN,SIKAR,2002,13,27,10,42,0,116,0
1243,RAJASTHAN,SIROHI,2002,9,37,3,33,0,83,0
1244,RAJASTHAN,TONK,2002,18,72,1,45,3,169,0
1245,RAJASTHAN,UDAIPUR,2002,39,75,12,71,0,95,0
1246,RAJASTHAN,TOTAL,2002,1051,2019,399,2730,44,5691,0
1942,RAJASTHAN,AJMER,2003,36,95,17,75,0,284,0
1943,RAJASTHAN,ALWAR,2003,50,60,42,114,0,274,0
1944,RAJASTHAN,BANSWARA,2003,53,51,3,89,2,100,0
1945,RAJASTHAN,BARAN,2003,50,66,3,175,10,187,0
1946,RAJASTHAN,BARMER,2003,16,15,17,72,0,63,0
1947,RAJASTHAN,BHARATPUR,2003,41,68,30,55,0,228,0
1948,RAJASTHAN,BHILWARA,2003,42,112,6,111,0,286,0
1949,RAJASTHAN,BIKANER,2003,27,28,14,50,0,164,0
1950,RAJASTHAN,BUNDI,2003,42,49,4,152,0,198,0
1951,RAJASTHAN,CHITTORGARH,2003,78,164,6,99,3,379,0
1952,RAJASTHAN,CHURU,2003,22,14,15,76,1,173,0
1953,RAJASTHAN,DAUSA,2003,17,21,3,20,0,61,0
1954,RAJASTHAN,DHOLPUR,2003,20,27,21,36,0,92,0
1955,RAJASTHAN,DUNGARPUR,2003,15,29,10,50,1,54,0
1956,RAJASTHAN,G.R.P.,2003,0,0,2,12,2,0,0
1957,RAJASTHAN,GANGANAGAR,2003,75,47,16,69,0,352,0
1958,RAJASTHAN,HANUMANGARH,2003,56,24,18,93,1,254,0
1959,RAJASTHAN,JAIPUR,2003,57,187,32,188,0,482,0
1960,RAJASTHAN,JAISALMER,2003,3,6,4,16,0,13,0
1961,RAJASTHAN,JALORE,2003,6,30,7,72,0,75,0
1962,RAJASTHAN,JHALAWAR,2003,50,51,11,141,1,191,0
1963,RAJASTHAN,JHUNJHUNU,2003,27,33,7,50,0,102,0
1964,RAJASTHAN,JODHPUR,2003,34,62,15,96,4,282,0
1965,RAJASTHAN,KARAULI,2003,34,50,13,80,0,73,0
1966,RAJASTHAN,KOTA,2003,35,115,9,146,2,307,0
