,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
530,SIKKIM,EAST,2001,7,1,0,0,8,0,0
531,SIKKIM,NORTH,2001,0,0,0,0,0,0,0
532,SIKKIM,SOUTH,2001,1,0,0,0,4,0,0
533,SIKKIM,WEST,2001,0,1,0,0,2,0,0
534,SIKKIM,TOTAL,2001,8,2,0,0,14,0,0
1247,SIKKIM,EAST,2002,3,2,0,9,0,2,0
1248,SIKKIM,NORTH,2002,0,0,0,2,0,0,0
1249,SIKKIM,SOUTH,2002,1,0,0,3,0,1,0
1250,SIKKIM,WEST,2002,2,0,0,3,0,0,0
1251,SIKKIM,TOTAL,2002,6,2,0,17,0,3,0
1976,SIKKIM,EAST,2003,5,0,0,11,0,1,0
1977,SIKKIM,NORTH,2003,2,0,0,0,0,0,0
1978,SIKKIM,SOUTH,2003,1,0,0,6,0,0,0
1979,SIKKIM,WEST,2003,2,0,0,8,0,0,0
1980,SIKKIM,TOTAL,2003,10,0,0,25,0,1,0
2704,SIKKIM,EAST,2004,1,1,0,15,0,0,0
2705,SIKKIM,NORTH,2004,0,0,0,1,0,0,0
2706,SIKKIM,SOUTH,2004,2,3,0,12,0,1,0
2707,SIKKIM,WEST,2004,0,0,0,12,0,0,0
2708,SIKKIM,TOTAL,2004,3,4,0,40,0,1,0
3438,SIKKIM,EAST,2005,8,1,0,8,0,3,0
3439,SIKKIM,NORTH,2005,1,0,0,1,0,0,0
3440,SIKKIM,SOUTH,2005,6,1,0,22,0,0,0
3441,SIKKIM,WEST,2005,3,0,0,7,0,1,0
3442,SIKKIM,TOTAL,2005,18,2,0,38,0,4,0
4178,SIKKIM,EAST,2006,10,4,0,6,0,4,0
4179,SIKKIM,NORTH,2006,3,0,0,0,0,0,0
4180,SIKKIM,SOUTH,2006,5,2,0,5,0,2,0
4181,SIKKIM,WEST,2006,2,1,0,3,0,0,0
4182,SIKKIM,TOTAL,2006,20,7,0,14,0,6,0
4921,SIKKIM,EAST,2007,8,5,0,3,0,3,0
4922,SIKKIM,NORTH,2007,0,0,0,0,0,1,0
4923,SIKKIM,SOUTH,2007,12,1,0,3,0,2,0
4924,SIKKIM,WEST,2007,4,3,0,7,0,1,0
4925,SIKKIM,TOTAL,2007,24,9,0,13,0,7,0
5675,SIKKIM,EAST,2008,5,2,0,5,0,3,0
5676,SIKKIM,NORTH,2008,1,0,0,1,0,0,0
5677,SIKKIM,SOUTH,2008,9,1,0,10,0,0,0
5678,SIKKIM,WEST,2008,5,1,0,3,0,2,0
5679,SIKKIM,TOTAL,2008,20,4,0,19,0,5,0
6440,SIKKIM,EAST,2009,5,2,0,4,0,4,0
6441,SIKKIM,NORTH,2009,0,0,0,0,0,0,0
6442,SIKKIM,SOUTH,2009,8,2,0,5,0,1,0
6443,SIKKIM,WEST,2009,5,2,0,1,0,1,0
6444,SIKKIM,TOTAL,2009,18,6,0,10,0,6,0
7217,SIKKIM,EAST,2010,5,4,0,1,0,0,0
7218,SIKKIM,NORTH,2010,0,0,0,0,0,0,0
7219,SIKKIM,SOUTH,2010,9,1,0,5,0,2,0
7220,SIKKIM,WEST,2010,4,1,1,5,0,1,0
7221,SIKKIM,TOTAL,2010,18,6,1,11,0,3,0
8005,SIKKIM,EAST,2011,7,5,0,6,0,2,0
8006,SIKKIM,NORTH,2011,0,0,0,1,0,0,0
8007,SIKKIM,SOUTH,2011,4,4,0,11,0,1,0
8008,SIKKIM,WEST,2011,5,1,0,6,0,1,0
8009,SIKKIM,TOTAL,2011,16,10,0,24,0,4,0
8807,SIKKIM,EAST,2012,13,6,1,7,0,2,0
8808,SIKKIM,NORTH,2012,0,0,0,0,0,0,0
8809,SIKKIM,SOUTH,2012,12,3,0,6,0,1,0
8810,SIKKIM,WEST,2012,9,1,0,6,0,1,0
8811,SIKKIM,TOTAL,2012,34,10,1,19,0,4,0
612,SIKKIM,EAST,2013,22,9,0,16,0,3,0
613,SIKKIM,NORTH,2013,1,0,0,0,0,0,0
614,SIKKIM,SOUTH,2013,15,5,0,8,0,1,0
615,SIKKIM,WEST,2013,5,2,0,5,0,1,0
616,SIKKIM,ZZ TOTAL,2013,43,16,0,29,0,5,0
606,SIKKIM,EAST,2014,16,9,0,15,0,4,0
607,SIKKIM,NORTH,2014,2,0,0,1,0,1,0
608,SIKKIM,SOUTH,2014,15,2,0,13,3,0,0
609,SIKKIM,WEST,2014,14,1,0,5,0,0,0
610,SIKKIM,CID,2014,0,0,0,0,0,0,0
611,SIKKIM,TOTAL DISTRICT(S),2014,47,12,0,34,3,5,0
622,SIKKIM,EAST,2015,0,18,1,14,2,2,0
623,SIKKIM,NORTH,2015,0,0,0,1,0,0,0
624,SIKKIM,SOUTH,2015,2,3,0,3,0,0,0
625,SIKKIM,WEST,2015,3,0,0,3,0,0,0
626,SIKKIM,TOTAL DISTRICT(S),2015,5,21,1,21,2,2,0
