,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
535,TAMIL NADU,ARIYALUR,2001,6,14,3,38,4,8,0
536,TAMIL NADU,CHENGAI,2001,20,8,16,58,8,57,0
537,TAMIL NADU,CHENNAI,2001,28,0,13,70,209,111,0
538,TAMIL NADU,CHENNAI RLY.,2001,0,0,0,5,0,2,0
539,TAMIL NADU,COIMBATORE RURAL,2001,18,27,16,75,25,49,0
540,TAMIL NADU,COIMBATORE URBAN,2001,4,10,5,19,38,28,0
541,TAMIL NADU,CUDDALORE,2001,16,2,9,137,50,21,0
542,TAMIL NADU,DHARMAPURI,2001,17,30,6,65,8,18,0
543,TAMIL NADU,DINDIGUL,2001,14,35,8,48,11,8,5
544,TAMIL NADU,ERODE,2001,9,14,4,72,16,25,0
545,TAMIL NADU,KANCHIPURAM,2001,21,9,6,30,9,12,9
546,TAMIL NADU,KANYAKUMARI,2001,6,9,5,27,170,29,0
547,TAMIL NADU,KARUR,2001,4,8,2,21,2,14,0
548,TAMIL NADU,MADURAI RURAL,2001,13,23,5,52,8,69,0
549,TAMIL NADU,MADURAI URBAN,2001,2,18,12,20,52,24,0
550,TAMIL NADU,NAGAPATTINAM,2001,12,25,4,55,13,8,0
551,TAMIL NADU,NAMAKKAL,2001,7,16,4,39,13,18,0
552,TAMIL NADU,NILGIRIS,2001,8,5,2,6,5,16,0
553,TAMIL NADU,PERAMBALUR,2001,3,11,0,18,0,12,0
554,TAMIL NADU,PUDUKOTTAI,2001,5,24,2,32,4,25,0
555,TAMIL NADU,RAMNATHAPURAM,2001,13,17,4,59,12,16,0
556,TAMIL NADU,SALEM RURAL,2001,8,29,8,53,7,7,0
557,TAMIL NADU,SALEM URBAN,2001,2,10,3,7,13,11,0
558,TAMIL NADU,SIVAGANGAI,2001,5,10,4,17,2,9,0
559,TAMIL NADU,THANJAVUR,2001,0,34,0,53,46,31,0
560,TAMIL NADU,THENI,2001,4,7,4,29,8,9,0
561,TAMIL NADU,THIRUNELVELI RURAL,2001,57,53,3,155,62,13,0
562,TAMIL NADU,THIRUNELVELI URBAN,2001,3,10,0,2,21,6,0
563,TAMIL NADU,THIRUVALLUR,2001,16,11,6,70,17,16,0
564,TAMIL NADU,THIRUVANNAMALAI,2001,5,33,1,53,9,18,0
565,TAMIL NADU,THIRUVARUR,2001,7,26,4,50,18,2,0
566,TAMIL NADU,THOOTHUGUDI,2001,12,0,1,94,47,36,0
567,TAMIL NADU,TRICHY RLY.,2001,0,0,0,0,3,0,0
568,TAMIL NADU,TRICHY RURAL,2001,6,17,3,22,5,2,0
569,TAMIL NADU,TRICHY URBAN,2001,5,6,4,9,51,18,0
570,TAMIL NADU,VELLORE,2001,13,0,8,54,16,5,0
571,TAMIL NADU,VILLUPURAM,2001,37,37,14,78,20,42,0
572,TAMIL NADU,VIRUDHUNAGAR,2001,17,19,2,81,10,20,0
573,TAMIL NADU,TOTAL,2001,423,607,191,1773,1012,815,14
1252,TAMIL NADU,CHENGAI,2002,27,30,28,69,24,90,0
1253,TAMIL NADU,CHENNAI,2002,26,21,20,61,941,106,0
1254,TAMIL NADU,CHENNAI RLY.,2002,0,0,0,3,0,0,0
1255,TAMIL NADU,COIMBATORE RURAL,2002,25,30,21,79,25,74,0
1256,TAMIL NADU,COIMBATORE URBAN,2002,2,4,7,14,16,28,0
1257,TAMIL NADU,CUDDALORE,2002,27,36,10,110,21,27,0
1258,TAMIL NADU,DHARMAPURI,2002,20,23,14,62,8,30,0
1259,TAMIL NADU,DINDIGUL,2002,14,25,2,33,44,23,0
1260,TAMIL NADU,ERODE,2002,13,28,3,68,6,31,0
1261,TAMIL NADU,KANCHIPURAM,2002,20,0,9,41,16,13,0
1262,TAMIL NADU,KANYAKUMARI,2002,10,10,4,43,82,29,0
1263,TAMIL NADU,KARUR,2002,10,15,1,8,1,24,0
1264,TAMIL NADU,MADURAI RURAL,2002,15,16,8,60,6,45,0
1265,TAMIL NADU,MADURAI URBAN,2002,7,12,6,23,123,25,0
1266,TAMIL NADU,NAGAPATTINAM,2002,27,24,7,83,6,14,0
1267,TAMIL NADU,NAMAKKAL,2002,13,25,3,41,18,26,0
1268,TAMIL NADU,NILGIRIS,2002,6,0,0,20,4,25,0
1269,TAMIL NADU,PERAMBALUR,2002,16,22,4,88,15,22,0
1270,TAMIL NADU,PUDUKOTTAI,2002,10,23,4,49,6,32,0
1271,TAMIL NADU,RAMNATHAPURAM,2002,13,9,5,51,6,23,0
1272,TAMIL NADU,SALEM RURAL,2002,14,24,3,54,6,27,0
1273,TAMIL NADU,SALEM URBAN,2002,8,3,5,3,13,15,0
1274,TAMIL NADU,SIVAGANGAI,2002,6,10,3,22,9,44,0
1275,TAMIL NADU,THANJAVUR,2002,10,16,1,30,19,23,0
1276,TAMIL NADU,THENI,2002,12,19,4,52,5,15,0
1277,TAMIL NADU,THIRUNELVELI RURAL,2002,41,47,3,143,52,28,0
1278,TAMIL NADU,THIRUNELVELI URBAN,2002,3,12,6,10,14,10,0
1279,TAMIL NADU,THIRUVALLUR,2002,10,33,7,96,24,28,0
1280,TAMIL NADU,THIRUVANNAMALAI,2002,10,44,9,54,29,18,0
1281,TAMIL NADU,THIRUVARUR,2002,4,3,5,50,15,2,0
1282,TAMIL NADU,THOOTHUGUDI,2002,13,19,4,121,0,48,0
1283,TAMIL NADU,TRICHY RLY.,2002,0,0,0,2,1,1,0
1284,TAMIL NADU,TRICHY RURAL,2002,5,13,10,14,7,2,0
1285,TAMIL NADU,TRICHY URBAN,2002,2,9,7,16,106,20,0
1286,TAMIL NADU,VELLORE,2002,31,33,13,48,21,6,0
1287,TAMIL NADU,VILLUPURAM,2002,51,53,3,92,17,42,0
1288,TAMIL NADU,VIRUDHUNAGAR,2002,13,23,4,64,12,36,0
1289,TAMIL NADU,TOTAL,2002,534,714,243,1877,1718,1052,0
1981,TAMIL NADU,CHENGAI,2003,17,33,15,100,62,78,0
1982,TAMIL NADU,CHENNAI,2003,38,0,18,90,212,159,0
1983,TAMIL NADU,CHENNAI RLY.,2003,0,0,0,4,2,0,0
1984,TAMIL NADU,COIMBATORE RURAL,2003,16,14,17,79,29,97,0
1985,TAMIL NADU,COIMBATORE URBAN,2003,4,1,1,18,6,24,0
