,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
655,TELANGANA,ADILABAD,2014,42,39,16,244,83,384,0
656,TELANGANA,CYBERABAD,2014,139,90,48,376,271,1329,0
657,TELANGANA,HYDERABAD CITY,2014,126,175,22,393,87,1289,0
658,TELANGANA,KARIMNAGAR,2014,66,85,34,373,70,737,0
659,TELANGANA,KHAMMAM,2014,102,62,18,351,133,530,0
660,TELANGANA,MAHABOOB NAGAR,2014,169,50,30,242,47,209,0
661,TELANGANA,MEDAK,2014,60,35,34,211,47,346,0
662,TELANGANA,NALGONDA,2014,126,36,23,447,174,262,0
663,TELANGANA,NIZAMABAD,2014,36,27,25,163,145,658,0
664,TELANGANA,RANGA REDDY,2014,51,34,10,83,18,192,0
665,TELANGANA,SECUNDERABAD RAILWAY,2014,2,1,0,5,0,0,0
666,TELANGANA,WARANGAL RURAL,2014,41,44,17,186,20,218,0
667,TELANGANA,WARANGAL CITY,2014,19,33,12,114,47,215,0
668,TELANGANA,TOTAL DISTRICT(S),2014,979,711,289,3188,1142,6369,0
670,TELANGANA,ADILABAD,2015,67,26,15,238,89,507,0
671,TELANGANA,CYBERABAD,2015,154,57,57,583,380,1495,0
672,TELANGANA,HYDERABAD CITY,2015,113,132,25,346,116,1606,0
673,TELANGANA,KARIMNAGAR,2015,104,57,31,456,74,763,0
674,TELANGANA,KHAMMAM,2015,117,97,16,450,126,526,0
675,TELANGANA,MAHABOOB NAGAR,2015,179,110,20,292,0,366,0
676,TELANGANA,MEDAK,2015,97,44,38,288,46,448,0
677,TELANGANA,NALGONDA,2015,123,40,21,444,209,611,0
678,TELANGANA,NIZAMABAD,2015,33,12,10,123,108,449,0
679,TELANGANA,RANGA REDDY,2015,31,10,7,60,21,131,0
680,TELANGANA,SECUNDERABAD RAILWAY,2015,2,0,0,8,3,2,0
681,TELANGANA,WARANGAL RURAL,2015,52,39,19,226,48,180,0
682,TELANGANA,WARANGAL CITY,2015,33,24,3,94,68,245,0
683,TELANGANA,TOTAL DISTRICT(S),2015,1105,648,262,3608,1288,7329,0
