,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
574,TRIPURA,DHALAI,2001,11,0,2,4,0,11,0
575,TRIPURA,NORTH,2001,29,11,3,16,0,60,0
576,TRIPURA,SOUTH,2001,29,7,5,18,0,59,0
577,TRIPURA,WEST,2001,33,17,6,20,0,97,0
578,TRIPURA,TOTAL,2001,102,35,16,58,0,227,0
1290,TRIPURA,DHALAI,2002,6,20,2,11,0,9,0
1291,TRIPURA,NORTH,2002,35,6,2,20,0,60,0
1292,TRIPURA,SOUTH,2002,30,6,4,57,0,90,0
1293,TRIPURA,WEST,2002,37,16,8,40,0,77,0
1294,TRIPURA,TOTAL,2002,108,48,16,128,0,236,0
2019,TRIPURA,DHALAI,2003,5,2,2,8,0,10,0
2020,TRIPURA,NORTH,2003,36,4,3,38,0,75,0
2021,TRIPURA,SOUTH,2003,37,7,3,54,0,73,0
2022,TRIPURA,WEST,2003,36,16,12,27,0,89,0
2023,TRIPURA,TOTAL,2003,114,29,20,127,0,247,0
2748,TRIPURA,DHALAI,2004,15,7,1,5,0,19,0
2749,TRIPURA,NORTH,2004,46,22,0,37,0,63,0
2750,TRIPURA,SOUTH,2004,51,17,8,66,0,117,0
2751,TRIPURA,WEST,2004,48,8,11,26,0,103,0
2752,TRIPURA,TOTAL,2004,160,54,20,134,0,302,0
3481,TRIPURA,DHALAI,2005,15,8,1,13,0,29,0
3482,TRIPURA,NORTH,2005,47,11,3,44,0,105,0
3483,TRIPURA,SOUTH,2005,42,12,11,65,0,129,0
3484,TRIPURA,WEST,2005,58,12,19,39,1,176,0
3485,TRIPURA,TOTAL,2005,162,43,34,161,1,439,0
4221,TRIPURA,DHALAI,2006,16,8,2,19,0,22,0
4222,TRIPURA,NORTH,2006,45,18,3,47,0,143,0
4223,TRIPURA,SOUTH,2006,51,8,9,81,0,137,0
4224,TRIPURA,WEST,2006,77,28,21,60,0,169,0
4225,TRIPURA,TOTAL,2006,189,62,35,207,0,471,0
4964,TRIPURA,DHALAI,2007,13,11,4,19,0,28,0
4965,TRIPURA,NORTH,2007,26,16,0,27,1,100,0
4966,TRIPURA,SOUTH,2007,41,18,10,106,0,172,0
4967,TRIPURA,WEST,2007,77,36,22,92,3,245,0
4968,TRIPURA,TOTAL,2007,157,81,36,244,4,545,0
5719,TRIPURA,DHALAI,2008,32,7,2,22,0,34,0
5720,TRIPURA,NORTH,2008,46,21,2,62,0,169,0
5721,TRIPURA,SOUTH,2008,45,27,6,135,0,161,0
5722,TRIPURA,WEST,2008,81,55,6,127,4,371,0
5723,TRIPURA,TOTAL,2008,204,110,16,346,4,735,0
6486,TRIPURA,DHALAI,2009,18,4,1,16,0,47,0
6487,TRIPURA,NORTH,2009,48,23,6,78,0,174,0
6488,TRIPURA,SOUTH,2009,48,21,8,153,1,192,0
6489,TRIPURA,WEST,2009,76,44,14,137,4,402,0
6490,TRIPURA,TOTAL,2009,190,92,29,384,5,815,0
7263,TRIPURA,DHALAI,2010,33,6,3,26,1,65,0
7264,TRIPURA,G.R.P.,2010,0,0,0,1,0,0,0
7265,TRIPURA,NORTH,2010,51,22,2,70,0,186,0
7266,TRIPURA,SOUTH,2010,36,21,10,165,3,255,0
7267,TRIPURA,WEST,2010,118,42,10,114,5,431,0
7268,TRIPURA,TOTAL,2010,238,91,25,376,9,937,0
8050,TRIPURA,DHALAI,2011,21,9,1,38,0,52,0
8051,TRIPURA,GRP,2011,0,0,0,0,0,0,0
8052,TRIPURA,NORTH,2011,40,27,1,50,1,172,0
8053,TRIPURA,SOUTH,2011,58,24,5,84,1,181,0
8054,TRIPURA,WEST,2011,86,56,23,122,7,297,0
8055,TRIPURA,TOTAL,2011,205,116,30,294,9,702,0
8852,TRIPURA,DHALAI,2012,35,8,5,30,0,56,0
8853,TRIPURA,GOMATI,2012,26,14,4,34,0,157,0
8854,TRIPURA,GRP,2012,0,0,0,0,0,0,0
8855,TRIPURA,KHOWAI,2012,10,3,3,22,0,36,0
8856,TRIPURA,NORTH,2012,29,10,3,48,2,101,0
8857,TRIPURA,SIPAHIJALA,2012,23,24,3,42,1,155,0
8858,TRIPURA,SOUTH,2012,30,16,5,46,0,89,0
