,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
651,UTTARAKHAND,ALMORA,2001,4,1,3,5,0,5,0
652,UTTARAKHAND,BAGESHWAR,2001,1,4,8,1,0,0,0
653,UTTARAKHAND,CHAMOLI,2001,3,3,3,10,0,1,0
654,UTTARAKHAND,CHAMPAWAT,2001,0,3,0,7,0,5,0
655,UTTARAKHAND,DEHRADUN,2001,12,48,4,13,19,85,0
656,UTTARAKHAND,HARIDWAR,2001,13,23,10,21,33,105,0
657,UTTARAKHAND,NAINITAL,2001,5,0,5,11,3,29,0
658,UTTARAKHAND,PAURI GARHWAL,2001,7,7,5,4,1,7,0
659,UTTARAKHAND,PITHORAGARH,2001,7,0,2,6,4,10,0
660,UTTARAKHAND,RUDRA PRAYAG,2001,2,0,3,3,1,2,0
661,UTTARAKHAND,TEHRI GARHWAL,2001,2,5,2,3,0,8,0
662,UTTARAKHAND,UDHAMSINGH NAGAR,2001,10,29,10,7,22,31,0
663,UTTARAKHAND,UTTARKASHI,2001,8,3,1,12,1,13,0
664,UTTARAKHAND,TOTAL,2001,74,126,56,103,84,301,0
1367,UTTARAKHAND,ALMORA,2002,3,2,11,7,1,6,0
1368,UTTARAKHAND,BAGESHWAR,2002,5,3,2,0,0,7,0
1369,UTTARAKHAND,CHAMOLI,2002,4,5,5,12,7,4,0
1370,UTTARAKHAND,CHAMPAWAT,2002,2,4,1,3,0,0,0
1371,UTTARAKHAND,DEHRADUN,2002,12,50,5,11,29,79,0
1372,UTTARAKHAND,HARIDWAR,2002,23,38,11,41,30,102,0
1373,UTTARAKHAND,NAINITAL,2002,5,13,5,11,4,36,1
1374,UTTARAKHAND,PAURI GARHWAL,2002,6,10,5,7,0,14,0
1375,UTTARAKHAND,PITHORAGARH,2002,3,0,3,7,5,4,0
1376,UTTARAKHAND,RUDRA PRAYAG,2002,0,1,4,7,0,1,0
1377,UTTARAKHAND,TEHRI GARHWAL,2002,3,5,3,10,0,10,0
1378,UTTARAKHAND,UDHAMSINGH NAGAR,2002,14,19,11,24,18,41,0
1379,UTTARAKHAND,UTTARKASHI,2002,9,5,0,5,3,12,0
1380,UTTARAKHAND,TOTAL,2002,89,155,66,145,97,316,1
2096,UTTARAKHAND,ALMORA,2003,1,1,9,6,4,5,0
2097,UTTARAKHAND,BAGESHWAR,2003,4,0,2,3,0,0,0
2098,UTTARAKHAND,CHAMOLI,2003,4,3,3,8,2,1,0
2099,UTTARAKHAND,CHAMPAWAT,2003,1,3,2,5,0,4,0
2100,UTTARAKHAND,DEHRADUN,2003,16,28,11,13,31,85,0
2101,UTTARAKHAND,HARIDWAR,2003,31,25,7,21,36,79,0
2102,UTTARAKHAND,NAINITAL,2003,9,14,12,15,3,30,0
2103,UTTARAKHAND,PAURI GARHWAL,2003,7,14,13,9,0,17,0
2104,UTTARAKHAND,PITHORAGARH,2003,3,0,6,7,0,1,0
2105,UTTARAKHAND,RUDRA PRAYAG,2003,2,2,7,2,0,4,0
2106,UTTARAKHAND,TEHRI GARHWAL,2003,6,4,6,10,0,10,0
2107,UTTARAKHAND,UDHAMSINGH NAGAR,2003,14,34,15,29,20,75,0
2108,UTTARAKHAND,UTTARKASHI,2003,9,6,0,8,2,6,0
2109,UTTARAKHAND,TOTAL,2003,107,134,93,136,98,317,0
2825,UTTARAKHAND,ALMORA,2004,1,4,7,7,4,9,0
2826,UTTARAKHAND,BAGESHWAR,2004,5,0,4,0,0,2,0
2827,UTTARAKHAND,CHAMOLI,2004,4,6,1,12,1,3,0
2828,UTTARAKHAND,CHAMPAWAT,2004,2,1,0,5,0,4,0
2829,UTTARAKHAND,DEHRADUN,2004,21,22,6,16,46,119,0
2830,UTTARAKHAND,HARIDWAR,2004,33,37,10,28,43,118,0
2831,UTTARAKHAND,NAINITAL,2004,6,26,6,18,15,25,0
2832,UTTARAKHAND,PAURI GARHWAL,2004,6,9,7,11,0,11,0
2833,UTTARAKHAND,PITHORAGARH,2004,9,0,8,4,0,6,0
2834,UTTARAKHAND,RUDRA PRAYAG,2004,4,3,6,5,0,2,0
2835,UTTARAKHAND,TEHRI GARHWAL,2004,4,14,4,2,0,12,0
2836,UTTARAKHAND,UDHAMSINGH NAGAR,2004,15,0,21,32,0,85,0
