,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
665,WEST BENGAL,24 PARGANAS NORTH,2001,53,63,23,63,0,447,0
666,WEST BENGAL,24 PARGANAS SOUTH,2001,47,52,48,54,0,480,0
667,WEST BENGAL,ASANSOL,2001,0,0,1,0,0,32,0
668,WEST BENGAL,BANKURA,2001,26,5,22,28,0,78,0
669,WEST BENGAL,BIRBHUM,2001,43,28,4,43,0,151,0
670,WEST BENGAL,BURDWAN,2001,46,32,32,85,0,296,0
671,WEST BENGAL,COOCHBEHAR,2001,36,41,6,44,0,146,0
672,WEST BENGAL,DAKSHIN DINAJPUR,2001,10,28,4,37,0,101,0
673,WEST BENGAL,DARJEELING,2001,20,20,2,26,0,56,1
674,WEST BENGAL,HOOGHLY,2001,29,38,10,39,0,372,0
675,WEST BENGAL,HOWRAH,2001,2,5,8,13,0,43,0
676,WEST BENGAL,HOWRAH CITY,2001,7,10,5,6,0,84,0
677,WEST BENGAL,HOWRAH G.R.P.,2001,1,4,0,9,1,0,0
678,WEST BENGAL,JALPAIGURI,2001,54,24,2,47,0,150,0
679,WEST BENGAL,KOLKATA,2001,19,78,6,165,37,207,2
680,WEST BENGAL,MALDA,2001,40,23,5,48,0,92,0
681,WEST BENGAL,MIDNAPUR,2001,84,74,58,54,1,470,0
682,WEST BENGAL,MURSHIDABAD,2001,66,46,12,36,2,240,0
683,WEST BENGAL,NADIA,2001,71,90,10,77,7,252,0
684,WEST BENGAL,PURULIA,2001,23,15,3,48,0,86,0
685,WEST BENGAL,SEALDAH G.R.P.,2001,1,1,0,0,0,2,0
686,WEST BENGAL,SILIGURI G.R.P.,2001,0,0,0,1,0,0,0
687,WEST BENGAL,UTTAR DINAJPUR,2001,31,18,4,31,0,74,0
688,WEST BENGAL,TOTAL,2001,709,695,265,954,48,3859,3
1381,WEST BENGAL,24 PARGANAS NORTH,2002,88,63,29,84,1,630,0
1382,WEST BENGAL,24 PARGANAS SOUTH,2002,68,66,53,64,2,555,0
1383,WEST BENGAL,ASANSOL,2002,1,0,2,1,0,28,0
1384,WEST BENGAL,BANKURA,2002,19,11,20,22,0,85,0
1385,WEST BENGAL,BIRBHUM,2002,36,22,1,50,0,175,0
1386,WEST BENGAL,BURDWAN,2002,53,44,21,59,0,296,0
1387,WEST BENGAL,COOCHBEHAR,2002,43,41,5,39,1,155,0
1388,WEST BENGAL,DAKSHIN DINAJPUR,2002,20,24,14,31,0,61,0
1389,WEST BENGAL,DARJEELING,2002,22,23,1,21,1,55,0
1390,WEST BENGAL,HOOGHLY,2002,32,35,5,26,2,328,0
1391,WEST BENGAL,HOWRAH,2002,6,6,9,9,0,65,0
1392,WEST BENGAL,HOWRAH CITY,2002,10,20,5,7,0,71,0
1393,WEST BENGAL,HOWRAH G.R.P.,2002,3,0,0,5,0,1,0
1394,WEST BENGAL,JALPAIGURI,2002,38,14,3,54,0,154,0
1395,WEST BENGAL,KHARAGPUR G.R.P.,2002,0,1,0,0,0,0,0
1396,WEST BENGAL,KOLKATA,2002,33,74,4,160,24,235,0
1397,WEST BENGAL,MALDA,2002,33,15,5,60,3,69,0
1398,WEST BENGAL,MURSHIDABAD,2002,62,35,8,58,0,254,0
1399,WEST BENGAL,NADIA,2002,79,82,13,90,0,270,0
1400,WEST BENGAL,PASCHIM MIDNAPUR,2002,53,47,22,35,0,249,0
1401,WEST BENGAL,PURAB MIDNAPUR,2002,25,42,39,10,0,175,0
1402,WEST BENGAL,PURULIA,2002,15,14,4,51,0,92,0
1403,WEST BENGAL,SEALDAH G.R.P.,2002,0,0,0,1,0,0,0
1404,WEST BENGAL,SILIGURI G.R.P.,2002,0,1,0,1,0,0,0
1405,WEST BENGAL,UTTAR DINAJPUR,2002,20,14,10,26,0,66,1
1406,WEST BENGAL,TOTAL,2002,759,694,273,964,34,4069,1
2110,WEST BENGAL,24 PARGANAS NORTH,2003,92,103,24,105,3,672,0
2111,WEST BENGAL,24 PARGANAS SOUTH,2003,89,69,47,105,1,822,0
2112,WEST BENGAL,ASANSOL,2003,8,11,4,19,1,128,0
2113,WEST BENGAL,BANKURA,2003,43,11,20,31,0,106,0
2114,WEST BENGAL,BIRBHUM,2003,48,30,13,51,0,164,0
2115,WEST BENGAL,BURDWAN,2003,61,33,26,51,0,301,1
2116,WEST BENGAL,COOCHBEHAR,2003,53,34,11,60,0,176,0
2117,WEST BENGAL,DAKSHIN DINAJPUR,2003,31,32,8,40,1,104,0
2118,WEST BENGAL,DARJEELING,2003,24,26,3,20,0,58,0
2119,WEST BENGAL,HOOGHLY,2003,39,31,14,25,0,383,0
2120,WEST BENGAL,HOWRAH,2003,9,8,12,7,0,59,0
2121,WEST BENGAL,HOWRAH CITY,2003,6,7,5,11,1,65,0
2122,WEST BENGAL,HOWRAH G.R.P.,2003,0,2,0,5,0,1,0
2123,WEST BENGAL,JALPAIGURI,2003,60,23,4,75,1,164,0
2124,WEST BENGAL,KHARAGPUR G.R.P.,2003,0,0,0,0,0,0,0
2125,WEST BENGAL,KOLKATA,2003,36,85,16,185,57,222,0
2126,WEST BENGAL,MALDA,2003,57,20,4,67,1,99,0
2127,WEST BENGAL,MURSHIDABAD,2003,106,84,17,131,0,408,0
2128,WEST BENGAL,NADIA,2003,108,59,23,96,2,299,0
2129,WEST BENGAL,PASCHIM MIDNAPUR,2003,50,45,18,31,2,338,0
2130,WEST BENGAL,PURAB MIDNAPUR,2003,33,49,37,11,0,233,0
2131,WEST BENGAL,PURULIA,2003,25,14,8,34,0,82,0
2132,WEST BENGAL,SEALDAH G.R.P.,2003,0,0,1,2,0,0,0
2133,WEST BENGAL,SILIGURI G.R.P.,2003,0,2,0,1,0,0,0
2134,WEST BENGAL,UTTAR DINAJPUR,2003,24,23,14,23,1,64,0
2135,WEST BENGAL,TOTAL,2003,1002,801,329,1186,71,4948,1
2839,WEST BENGAL,24 PARGANAS NORTH,2004,176,124,55,154,4,810,0
2840,WEST BENGAL,24 PARGANAS SOUTH,2004,122,100,43,101,3,966,0
2841,WEST BENGAL,ASANSOL,2004,9,1,7,37,2,247,0
2842,WEST BENGAL,BANKURA,2004,49,24,22,40,0,123,0
2843,WEST BENGAL,BIRBHUM,2004,58,24,9,37,0,139,0
2844,WEST BENGAL,BURDWAN,2004,92,52,40,56,2,230,0
2845,WEST BENGAL,COOCHBEHAR,2004,92,38,6,69,3,173,0
2846,WEST BENGAL,DAKSHIN DINAJPUR,2004,33,26,8,36,0,97,0
2847,WEST BENGAL,DARJEELING,2004,21,17,8,24,3,56,0
2848,WEST BENGAL,HOOGHLY,2004,56,38,23,37,3,501,0
2849,WEST BENGAL,HOWRAH,2004,21,11,15,32,0,122,0
2850,WEST BENGAL,HOWRAH CITY,2004,15,13,5,16,2,120,0
2851,WEST BENGAL,HOWRAH G.R.P.,2004,1,5,0,4,1,0,0
2852,WEST BENGAL,JALPAIGURI,2004,83,49,8,112,2,229,0
2853,WEST BENGAL,KHARAGPUR G.R.P.,2004,0,0,0,2,1,1,0
2854,WEST BENGAL,KOLKATA,2004,27,95,10,174,34,252,1
2855,WEST BENGAL,MALDA,2004,97,46,4,112,0,245,0
2856,WEST BENGAL,MURSHIDABAD,2004,197,106,32,201,0,761,0
2857,WEST BENGAL,NADIA,2004,108,80,30,128,0,393,11
2858,WEST BENGAL,PASCHIM MIDNAPUR,2004,74,65,16,67,2,334,0
2859,WEST BENGAL,PURAB MIDNAPUR,2004,49,54,36,38,1,269,0
2860,WEST BENGAL,PURULIA,2004,43,11,8,39,0,118,0
2861,WEST BENGAL,SEALDAH G.R.P.,2004,5,1,0,6,0,0,0
2862,WEST BENGAL,SILIGURI G.R.P.,2004,0,2,2,4,0,0,0
2863,WEST BENGAL,UTTAR DINAJPUR,2004,47,36,9,40,1,148,0
2864,WEST BENGAL,TOTAL,2004,1475,1018,396,1566,64,6334,12
3572,WEST BENGAL,24 PARGANAS NORTH,2005,217,153,71,151,5,886,0
3573,WEST BENGAL,24 PARGANAS SOUTH,2005,136,117,64,123,2,915,0
3574,WEST BENGAL,ASANSOL,2005,9,14,4,10,0,340,0
3575,WEST BENGAL,BANKURA,2005,43,27,22,54,0,149,0
3576,WEST BENGAL,BIRBHUM,2005,78,37,5,42,0,160,0
3577,WEST BENGAL,BURDWAN,2005,113,52,40,56,0,230,0
3578,WEST BENGAL,COOCHBEHAR,2005,82,30,8,76,0,203,0
3579,WEST BENGAL,DAKSHIN DINAJPUR,2005,28,27,20,45,1,141,0
3580,WEST BENGAL,DARJEELING,2005,39,17,1,39,2,81,0
3581,WEST BENGAL,HOOGHLY,2005,42,30,5,31,0,539,0
3582,WEST BENGAL,HOWRAH,2005,41,27,9,38,2,243,0
3583,WEST BENGAL,HOWRAH CITY,2005,20,12,9,18,0,157,0
3584,WEST BENGAL,HOWRAH G.R.P.,2005,0,4,0,4,2,0,1
3585,WEST BENGAL,JALPAIGURI,2005,108,48,15,103,1,237,0
3586,WEST BENGAL,KHARAGPUR G.R.P.,2005,1,0,0,3,0,0,0
3587,WEST BENGAL,KOLKATA,2005,13,66,6,148,35,236,0
3588,WEST BENGAL,MALDA,2005,96,36,3,137,0,287,0
3589,WEST BENGAL,MURSHIDABAD,2005,236,110,35,223,1,696,0
3590,WEST BENGAL,NADIA,2005,148,97,48,95,3,545,60
3591,WEST BENGAL,PASCHIM MIDNAPUR,2005,92,44,21,57,0,300,0
3592,WEST BENGAL,PURAB MIDNAPUR,2005,54,53,34,28,0,325,0
3593,WEST BENGAL,PURULIA,2005,34,8,8,37,0,108,0
3594,WEST BENGAL,SEALDAH G.R.P.,2005,3,4,1,5,0,0,0
3595,WEST BENGAL,SILIGURI G.R.P.,2005,0,2,0,2,0,0,0
3596,WEST BENGAL,UTTAR DINAJPUR,2005,53,24,17,47,0,158,0
3597,WEST BENGAL,TOTAL,2005,1686,1039,446,1572,54,6936,61
4312,WEST BENGAL,24 PARGANAS NORTH,2006,174,140,74,175,5,1049,0
4313,WEST BENGAL,24 PARGANAS SOUTH,2006,190,154,68,157,3,1105,0
4314,WEST BENGAL,ASANSOL,2006,19,12,13,11,0,158,0
4315,WEST BENGAL,BANKURA,2006,51,22,24,43,0,133,0
4316,WEST BENGAL,BIRBHUM,2006,57,37,18,34,2,175,0
4317,WEST BENGAL,BURDWAN,2006,64,30,27,91,0,519,0
4318,WEST BENGAL,COOCHBEHAR,2006,124,48,5,116,0,309,0
